,image_path,label
0,Data/aff/surprise/image0009814.jpg,5
1,Data/aff/disgust/image0035503.jpg,1
2,Data/aff/disgust/image0040890.jpg,1
3,Data/aff/sadness/image0029951.jpg,4
4,Data/aff/anger/image0014718.jpg,0
5,Data/aff/happy/ffhq_2356.png,3
6,Data/aff/anger/image0010873.jpg,0
7,Data/aff/surprise/image0028611.jpg,5
8,Data/aff/anger/image0028361.jpg,0
9,Data/aff/happy/image0032322.jpg,3
10,Data/aff/sadness/image0021972.jpg,4
11,Data/aff/surprise/image0018624.jpg,5
12,Data/aff/surprise/image0025391.jpg,5
13,Data/aff/fear/image0028460.jpg,2
14,Data/aff/sadness/image0016728.jpg,4
15,Data/aff/surprise/image0027012.jpg,5
16,Data/aff/sadness/image0028454.jpg,4
17,Data/aff/surprise/image0032775.jpg,5
18,Data/aff/happy/ffhq_4865.png,3
19,Data/aff/disgust/image0039326.jpg,1
20,Data/aff/disgust/image0028156.jpg,1
21,Data/aff/anger/image0025547.jpg,0
22,Data/aff/fear/image0039971.jpg,2
23,Data/aff/disgust/image0041796.jpg,1
24,Data/aff/happy/ffhq_4624.png,3
25,Data/aff/fear/image0034188.jpg,2
26,Data/aff/sadness/image0016182.jpg,4
27,Data/aff/happy/ffhq_2987.png,3
28,Data/aff/disgust/image0037741.jpg,1
29,Data/aff/anger/image0026774.jpg,0
30,Data/aff/surprise/image0034542.jpg,5
31,Data/aff/happy/ffhq_3563.png,3
32,Data/aff/sadness/image0030345.jpg,4
33,Data/aff/happy/ffhq_3440.png,3
34,Data/aff/sadness/image0010961.jpg,4
35,Data/aff/surprise/image0032443.jpg,5
36,Data/aff/happy/ffhq_4371.png,3
37,Data/aff/surprise/image0031199.jpg,5
38,Data/aff/happy/ffhq_764.png,3
39,Data/aff/happy/ffhq_1681.png,3
40,Data/aff/anger/image0009349.jpg,0
41,Data/aff/happy/ffhq_2978.png,3
42,Data/aff/happy/ffhq_2035.png,3
43,Data/aff/fear/image0039806.jpg,2
44,Data/aff/anger/image0018144.jpg,0
45,Data/aff/disgust/image0039020.jpg,1
46,Data/aff/anger/image0029124.jpg,0
47,Data/aff/fear/image0040907.jpg,2
48,Data/aff/surprise/image0027442.jpg,5
49,Data/aff/fear/image0014227.jpg,2
50,Data/aff/anger/image0019727.jpg,0
51,Data/aff/disgust/image0033696.jpg,1
52,Data/aff/surprise/image0014594.jpg,5
53,Data/aff/fear/image0040482.jpg,2
54,Data/aff/sadness/image0024898.jpg,4
55,Data/aff/surprise/image0000260.jpg,5
56,Data/aff/anger/image0030476.jpg,0
57,Data/aff/anger/image0009140.jpg,0
58,Data/aff/disgust/image0020827.jpg,1
59,Data/aff/sadness/image0020988.jpg,4
60,Data/aff/sadness/image0022761.jpg,4
61,Data/aff/surprise/image0016328.jpg,5
62,Data/aff/surprise/image0028451.jpg,5
63,Data/aff/happy/ffhq_2389.png,3
64,Data/aff/happy/ffhq_2380.png,3
65,Data/aff/disgust/ffhq_7.png,1
66,Data/aff/disgust/image0041043.jpg,1
67,Data/aff/surprise/image0031141.jpg,5
68,Data/aff/anger/image0026008.jpg,0
69,Data/aff/surprise/image0026502.jpg,5
70,Data/aff/fear/image0038233.jpg,2
71,Data/aff/sadness/image0020207.jpg,4
72,Data/aff/disgust/image0036789.jpg,1
73,Data/aff/surprise/image0033865.jpg,5
74,Data/aff/anger/image0021542.jpg,0
75,Data/aff/surprise/image0009033.jpg,5
76,Data/aff/sadness/image0016215.jpg,4
77,Data/aff/surprise/image0031765.jpg,5
78,Data/aff/surprise/image0032118.jpg,5
79,Data/aff/anger/image0029892.jpg,0
80,Data/aff/happy/ffhq_2897.png,3
81,Data/aff/anger/image0027504.jpg,0
82,Data/aff/disgust/image0034071.jpg,1
83,Data/aff/anger/image0005903.jpg,0
84,Data/aff/happy/ffhq_4692.png,3
85,Data/aff/anger/image0030453.jpg,0
86,Data/aff/fear/image0024372.jpg,2
